[start] episodes=300
Episode 127/300, BossReward: 685.00, EnemyReward: 65.05, eps(B):0.01, eps(E):0.01
Episode 128/300, BossReward: 626.40, EnemyReward: 153.60, eps(B):0.01, eps(E):0.01
Episode 129/300, BossReward: 600.80, EnemyReward: 191.75, eps(B):0.01, eps(E):0.01
Episode 130/300, BossReward: 700.00, EnemyReward: 192.75, eps(B):0.01, eps(E):0.01
Episode 131/300, BossReward: 485.70, EnemyReward: 614.45, eps(B):0.01, eps(E):0.01
Episode 132/300, BossReward: 578.60, EnemyReward: 374.95, eps(B):0.01, eps(E):0.01
Episode 133/300, BossReward: 531.60, EnemyReward: 495.45, eps(B):0.01, eps(E):0.01
Episode 134/300, BossReward: 532.70, EnemyReward: 543.90, eps(B):0.01, eps(E):0.01
Episode 135/300, BossReward: 695.10, EnemyReward: 50.40, eps(B):0.01, eps(E):0.01
Episode 136/300, BossReward: 669.70, EnemyReward: 138.95, eps(B):0.01, eps(E):0.01
Episode 137/300, BossReward: 685.20, EnemyReward: 64.95, eps(B):0.01, eps(E):0.01
Episode 138/300, BossReward: 681.40, EnemyReward: 221.05, eps(B):0.01, eps(E):0.01
Episode 139/300, BossReward: 480.90, EnemyReward: 572.05, eps(B):0.01, eps(E):0.01
Episode 140/300, BossReward: 503.90, EnemyReward: 537.00, eps(B):0.01, eps(E):0.01
Episode 141/300, BossReward: 626.50, EnemyReward: 353.45, eps(B):0.01, eps(E):0.01
Episode 142/300, BossReward: 710.20, EnemyReward: 27.85, eps(B):0.01, eps(E):0.01
Episode 143/300, BossReward: 677.00, EnemyReward: 227.20, eps(B):0.01, eps(E):0.01
Episode 144/300, BossReward: 650.80, EnemyReward: 166.60, eps(B):0.01, eps(E):0.01
Episode 145/300, BossReward: 641.90, EnemyReward: 130.20, eps(B):0.01, eps(E):0.01
Episode 146/300, BossReward: 666.40, EnemyReward: 243.30, eps(B):0.01, eps(E):0.01
Episode 147/300, BossReward: 634.10, EnemyReward: 141.60, eps(B):0.01, eps(E):0.01
Episode 148/300, BossReward: 644.20, EnemyReward: 126.50, eps(B):0.01, eps(E):0.01
Episode 149/300, BossReward: 533.00, EnemyReward: 443.35, eps(B):0.01, eps(E):0.01
Episode 150/300, BossReward: 707.60, EnemyReward: 31.75, eps(B):0.01, eps(E):0.01
Episode 151/300, BossReward: 577.70, EnemyReward: 276.40, eps(B):0.01, eps(E):0.01
Episode 152/300, BossReward: 680.60, EnemyReward: 71.85, eps(B):0.01, eps(E):0.01
Episode 153/300, BossReward: 656.90, EnemyReward: 258.00, eps(B):0.01, eps(E):0.01
Episode 154/300, BossReward: 561.10, EnemyReward: 401.40, eps(B):0.01, eps(E):0.01
Episode 155/300, BossReward: 633.50, EnemyReward: 343.00, eps(B):0.01, eps(E):0.01
Episode 156/300, BossReward: 706.20, EnemyReward: 33.75, eps(B):0.01, eps(E):0.01
Episode 157/300, BossReward: 709.00, EnemyReward: 79.30, eps(B):0.01, eps(E):0.01
Episode 158/300, BossReward: 475.70, EnemyReward: 379.40, eps(B):0.01, eps(E):0.01
Episode 159/300, BossReward: 707.70, EnemyReward: 31.35, eps(B):0.01, eps(E):0.01
Episode 160/300, BossReward: 653.30, EnemyReward: 112.90, eps(B):0.01, eps(E):0.01
Episode 161/300, BossReward: 693.00, EnemyReward: 52.75, eps(B):0.01, eps(E):0.01
Episode 162/300, BossReward: 553.20, EnemyReward: 263.15, eps(B):0.01, eps(E):0.01
Episode 163/300, BossReward: 692.80, EnemyReward: 107.40, eps(B):0.01, eps(E):0.01
Episode 164/300, BossReward: 683.80, EnemyReward: 67.30, eps(B):0.01, eps(E):0.01
Episode 165/300, BossReward: 695.80, EnemyReward: 49.40, eps(B):0.01, eps(E):0.01
Episode 166/300, BossReward: 672.40, EnemyReward: 84.45, eps(B):0.01, eps(E):0.01
Episode 167/300, BossReward: 642.60, EnemyReward: 129.20, eps(B):0.01, eps(E):0.01
Episode 168/300, BossReward: 413.30, EnemyReward: 523.15, eps(B):0.01, eps(E):0.01
Episode 169/300, BossReward: 684.70, EnemyReward: 65.95, eps(B):0.01, eps(E):0.01
Episode 170/300, BossReward: 684.70, EnemyReward: 215.85, eps(B):0.01, eps(E):0.01
Episode 171/300, BossReward: 690.10, EnemyReward: 58.00, eps(B):0.01, eps(E):0.01
Episode 172/300, BossReward: 643.80, EnemyReward: 177.35, eps(B):0.01, eps(E):0.01
Episode 173/300, BossReward: 453.80, EnemyReward: 612.30, eps(B):0.01, eps(E):0.01
Episode 174/300, BossReward: 677.10, EnemyReward: 277.35, eps(B):0.01, eps(E):0.01
Episode 175/300, BossReward: 681.80, EnemyReward: 70.40, eps(B):0.01, eps(E):0.01
Episode 176/300, BossReward: 656.20, EnemyReward: 109.10, eps(B):0.01, eps(E):0.01
Episode 177/300, BossReward: 607.00, EnemyReward: 232.75, eps(B):0.01, eps(E):0.01
Episode 178/300, BossReward: 682.50, EnemyReward: 269.20, eps(B):0.01, eps(E):0.01
Episode 179/300, BossReward: 482.80, EnemyReward: 569.10, eps(B):0.01, eps(E):0.01
Episode 180/300, BossReward: 673.20, EnemyReward: 84.15, eps(B):0.01, eps(E):0.01
Episode 181/300, BossReward: 654.70, EnemyReward: 260.95, eps(B):0.01, eps(E):0.01
Episode 182/300, BossReward: 620.60, EnemyReward: 314.45, eps(B):0.01, eps(E):0.01
